,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,price,city-L/100km,highway-L/100km,width_normalized,length_normalized,height_normalized,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration
0,3,122,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,13495,11.19047619047619,8.703703703703704,0.32478632478632447,0.4134328358208958,0.08333333333333333,Low,False,True,std
1,3,122,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,16500,11.19047619047619,8.703703703703704,0.32478632478632447,0.4134328358208958,0.08333333333333333,Low,False,True,std
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,16500,12.368421052631579,9.038461538461538,0.4444444444444446,0.4492537313432835,0.38333333333333347,Medium,False,True,std
3,2,164,audi,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,13950,9.791666666666666,7.833333333333333,0.5042735042735046,0.5298507462686567,0.5416666666666666,Low,False,True,std
4,2,164,audi,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,17450,13.055555555555555,10.681818181818182,0.521367521367522,0.5298507462686567,0.5416666666666666,Low,False,True,std
5,2,122,audi,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,15250,12.368421052631579,9.4,0.5128205128205127,0.5402985074626868,0.44166666666666704,Low,False,True,std
6,1,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,17710,12.368421052631579,9.4,0.9487179487179492,0.7701492537313432,0.6583333333333338,Low,False,True,std
7,1,122,audi,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,18920,12.368421052631579,9.4,0.9487179487179492,0.7701492537313432,0.6583333333333338,Low,False,True,std
8,1,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,23875,13.823529411764707,11.75,0.9487179487179492,0.7701492537313432,0.6750000000000002,Medium,False,True,turbo
9,2,192,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,16430,10.217391304347826,8.10344827586207,0.3846153846153845,0.5328358208955226,0.5416666666666666,Low,False,True,std
